"parameter","estimate","se","zvalue","pvalue","max_grad","convergence"
"alpha_j",-5.63257571133433,1.06054025802182,-5.31104375221033,1.08999155977941e-07,0.000162920265260658,0
"theta_z",2.01915938354951,0.34274871651106,5.89107788383025,3.83684656170614e-09,0.000162920265260658,0
"alpha2_j",-3.74513344395928,0.279930433223055,-13.3788005856979,8.04348644244055e-41,0.000162920265260658,0
"theta2_z",0.455290347458667,0.137109630009025,3.3206299763824,0.000898145273663131,0.000162920265260658,0
"log_sigma",0.044848597766523,0.020628333027053,2.17412612583412,0.0296956643983513,0.000162920265260658,0
"log_kappa",-1.82058037589848,0.242653340760279,-7.50280367125488,6.24670796179129e-14,0.000162920265260658,0
