"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,11.0643871387899,5.66653227771166,11.0643871387899,NA,-0.042016125524988,22.1707904031047,"single","Mobulidae"
2014,3.4445908163691,1.67043112383259,3.4445908163691,NA,0.170545813657236,6.71863581908097,"single","Mobulidae"
2015,3.6255412096895,1.00550819463341,3.6255412096895,NA,1.654745148208,5.59633727117099,"single","Mobulidae"
2016,6.29063989061956,1.6270208116243,6.29063989061956,NA,3.10167909983594,9.47960068140318,"single","Mobulidae"
2017,3.52221360125902,1.07658390266472,3.52221360125902,NA,1.41210915203616,5.63231805048188,"single","Mobulidae"
2018,40.3366425278922,6.10894859582369,40.3366425278922,NA,28.3631032800777,52.3101817757066,"single","Mobulidae"
2019,10.4738626048874,2.55903128046003,10.4738626048874,NA,5.45816129518574,15.4895639145891,"single","Mobulidae"
2020,9.91319405433806,2.78585260302101,9.91319405433806,NA,4.45292295241687,15.3734651562592,"single","Mobulidae"
2021,5.27517466753,1.57986324946525,5.27517466753,NA,2.1786426985781,8.3717066364819,"single","Mobulidae"
2022,7.06363922751378,2.02570628958439,7.06363922751378,NA,3.09325489992837,11.0340235550992,"single","Mobulidae"
2023,5.05766610102488,1.26376975762928,5.05766610102488,NA,2.58067737607149,7.53465482597826,"single","Mobulidae"
