"sp_name","Catch"
"Carcharhinus falciformis",9867
"Mobulidae",1562
"other Carcharhinidae",1025
"sea turtles",943
"Sphyrnidae",668
"Prionace glauca",439
"Dasyatidae",381
"Lamnidae",102
"other shark",47
"Alopidae",3
"Rajiformes",3
"Myliobatidae",1
