"parameter","estimate","se","zvalue","pvalue","max_grad","convergence"
"alpha_j",-1.69338028138631,0.408952154105242,-4.14077848566737,3.46129098788689e-05,0.000337966184547511,0
"theta_z",0.82458191559631,0.116707093188485,7.06539673869344,1.60157746474574e-12,0.000337966184547511,0
"alpha2_j",-4.77053181792338,0.226525249858424,-21.0596029400913,1.86733246851431e-98,0.000337966184547511,0
"theta2_z",0.446667056892728,0.0798366113459333,5.59476472463633,2.20921147488049e-08,0.000337966184547511,0
"log_sigma",0.22406283717095,0.00926495078445607,24.1839209277683,3.28471331819212e-129,0.000337966184547511,0
"log_kappa",-1.81150759279049,0.185312829526821,-9.77540301670431,1.43584727152317e-22,0.000337966184547511,0
