"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,0.38597587051329,0.098307598400824,0.38597587051329,NA,0.193292977647675,0.578658763378905,"single","Auxis spp"
2014,2.19168214551883,0.348805299586566,2.19168214551883,NA,1.50802375832916,2.8753405327085,"single","Auxis spp"
2015,18.9412496470387,11.4596236454615,18.9412496470387,NA,-3.51961269806582,41.4021119921433,"single","Auxis spp"
2016,3.57345219389227,1.66770967554273,3.57345219389227,NA,0.304741229828519,6.84216315795603,"single","Auxis spp"
2017,3.73482997729686,2.0646020712147,3.73482997729686,NA,-0.311790082283949,7.78145003687767,"single","Auxis spp"
2018,17.939171658881,7.64272829872289,17.939171658881,NA,2.9594241933841,32.9189191243778,"single","Auxis spp"
2019,84.1752892944101,62.0704117239965,84.1752892944101,NA,-37.482717684623,205.833296273443,"single","Auxis spp"
2020,2.92200542170916,3.22775803953743,2.92200542170916,NA,-3.40440033578421,9.24841117920253,"single","Auxis spp"
2021,16.7322913119517,11.9212666811545,16.7322913119517,NA,-6.63339138311122,40.0979740070146,"single","Auxis spp"
2022,7.96171643158236,10.2898717988857,7.96171643158236,NA,-12.2064322942336,28.1298651573983,"single","Auxis spp"
2023,1.77257001209017,0.938369984783839,1.77257001209017,NA,-0.0666351580861495,3.6117751822665,"single","Auxis spp"
