"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,708.160808847674,68.5675989144964,708.160808847674,NA,573.768314975261,842.553302720087,"tV_mod_ln","single","Caranx crysos"
2014,303.594724841125,42.0180401429732,303.594724841125,NA,221.239366160897,385.950083521353,"tV_mod_ln","single","Caranx crysos"
2015,134.916917222105,6.71636990983589,134.916917222105,NA,121.752832198827,148.081002245383,"tV_mod_ln","single","Caranx crysos"
2016,297.241668297511,14.8810869173159,297.241668297511,NA,268.074737939572,326.40859865545,"tV_mod_ln","single","Caranx crysos"
2017,280.870433771815,13.0439678240299,280.870433771815,NA,255.304256836716,306.436610706913,"tV_mod_ln","single","Caranx crysos"
2018,192.634346136012,9.68683651154948,192.634346136012,NA,173.648146573375,211.620545698649,"tV_mod_ln","single","Caranx crysos"
2019,152.998187635927,9.46757718869197,152.998187635927,NA,134.441736346091,171.554638925764,"tV_mod_ln","single","Caranx crysos"
2020,218.331495332966,18.1354156955819,218.331495332966,NA,182.786080569625,253.876910096306,"tV_mod_ln","single","Caranx crysos"
2021,123.674712751089,6.04860374873564,123.674712751089,NA,111.819449403567,135.52997609861,"tV_mod_ln","single","Caranx crysos"
2022,96.5178732077732,5.08144947308517,96.5178732077732,NA,86.5582322405262,106.47751417502,"tV_mod_ln","single","Caranx crysos"
2023,148.006988949507,8.99103597775759,148.006988949507,NA,130.384558433102,165.629419465911,"tV_mod_ln","single","Caranx crysos"
