"term","estimate","std.error","p_value","component","model","check","category"
"fyear2014",-15.81,1.66,"<0.01",1,"Belonidae",TRUE,3
"fyear2015",-16.75,1.27,"<0.01",1,"Belonidae",TRUE,3
"fyear2016",-15.99,1.22,"<0.01",1,"Belonidae",TRUE,3
"fyear2017",-15.98,1.17,"<0.01",1,"Belonidae",TRUE,3
"fyear2018",-14.48,1.12,"<0.01",1,"Belonidae",TRUE,3
"fyear2019",-16.16,1.18,"<0.01",1,"Belonidae",TRUE,3
"fyear2020",-16.85,1.29,"<0.01",1,"Belonidae",TRUE,3
"fyear2021",-16.87,1.24,"<0.01",1,"Belonidae",TRUE,3
"fyear2023",-16.5,1.25,"<0.01",1,"Belonidae",TRUE,3
