"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,8.10986396226279,5.51502052922007,8.10986396226279,NA,-2.69957627500855,18.9193041995341,"single","Carcharhinus falciformis"
2014,29.5203355582171,28.170080854299,29.5203355582171,NA,-25.6930229162089,84.7336940326431,"single","Carcharhinus falciformis"
2015,39.8679901850722,9.18029872964212,39.8679901850722,NA,21.8746046749737,57.8613756951708,"single","Carcharhinus falciformis"
2016,13.9920461315285,3.80067600143287,13.9920461315285,NA,6.54272116872011,21.441371094337,"single","Carcharhinus falciformis"
2017,10.9842348663551,3.16938094498682,10.9842348663551,NA,4.77224821418094,17.1962215185292,"single","Carcharhinus falciformis"
2018,3.71665389312038,1.22780174874467,3.71665389312038,NA,1.31016246558082,6.12314532065994,"single","Carcharhinus falciformis"
2019,13.8277770263592,3.58955684043188,13.8277770263592,NA,6.79224561911269,20.8633084336057,"single","Carcharhinus falciformis"
2020,7.51275790449761,2.27541816499573,7.51275790449761,NA,3.05293830110599,11.9725775078892,"single","Carcharhinus falciformis"
2021,9.44230343041169,2.54503490664813,9.44230343041169,NA,4.45403501338135,14.430571847442,"single","Carcharhinus falciformis"
2022,7.66453513695995,2.43288594967874,7.66453513695995,NA,2.89607867558962,12.4329915983303,"single","Carcharhinus falciformis"
2023,16.3269467636312,4.01534440107296,16.3269467636312,NA,8.45687173752814,24.1970217897342,"single","Carcharhinus falciformis"
