"parameter","estimate","se","zvalue","pvalue","max_grad","convergence","AIC"
"alpha_j",-0.304651317212957,0.300439259205795,-1.01401966579966,0.310573368522138,0.0076967113466615,0,2133.09858276039
"alpha_j",-4.88260838227154,0.627500335662701,-7.78104505253378,7.19278724939017e-15,0.0076967113466615,0,2133.09858276039
"alpha_j",-0.437130791016119,0.367402888570577,-1.18978593967191,0.234130537247274,0.0076967113466615,0,2133.09858276039
"alpha_j",-0.332171539579304,0.281201079502808,-1.1812598307468,0.237499519557619,0.0076967113466615,0,2133.09858276039
"alpha_j",-0.983907691796077,0.481341141289521,-2.04409639525134,0.0409440252043522,0.0076967113466615,0,2133.09858276039
"alpha_j",-0.847947282850176,0.461647593454561,-1.83678480051177,0.0662416706234631,0.0076967113466615,0,2133.09858276039
"alpha_j",-0.427318459813254,0.101011238300952,-4.2304051212609,2.33270818523115e-05,0.0076967113466615,0,2133.09858276039
"alpha_j",-1.32972102036728,0.079672034278635,-16.6899343340084,1.55141321461167e-62,0.0076967113466615,0,2133.09858276039
"alpha_j",-3.66297787205179,0.655121013271505,-5.59129961922581,2.25376285607101e-08,0.0076967113466615,0,2133.09858276039
"alpha_j",-3.7223529235632,0.442414689617792,-8.41371909865604,3.97211285809421e-17,0.0076967113466615,0,2133.09858276039
"alpha_j",-2.61396991287112,0.486173507134997,-5.37661940543645,7.5897371896584e-08,0.0076967113466615,0,2133.09858276039
"alpha_j",-1.66318989961987,0.450659771874744,-3.69056659461971,0.000223755098527119,0.0076967113466615,0,2133.09858276039
"alpha_j",-3.78128773792705,0.320557249990712,-11.7959825835685,4.09394102380827e-32,0.0076967113466615,0,2133.09858276039
"alpha_j",-6.00660487722111,1.7562255491792,-3.42017850726997,0.000625800564745875,0.0076967113466615,0,2133.09858276039
"alpha_j",-4.15372250742439,0.187550772434294,-22.1471895503901,1.11032985552751e-108,0.0076967113466615,0,2133.09858276039
"alpha_j",-4.00308644313084,0.100202031069958,-39.950152710338,0,0.0076967113466615,0,2133.09858276039
"alpha_j",-1.74985698329541,0.290355235728495,-6.02660730020953,1.67437166087001e-09,0.0076967113466615,0,2133.09858276039
"theta_z",0.22470414223424,0.522430108869205,0.430113307827166,0.667113220003448,0.0076967113466615,0,2133.09858276039
"theta_z",-0.148515633603817,0.349291146653909,-0.42519152010163,0.670697065383248,0.0076967113466615,0,2133.09858276039
"theta_z",0.265007056784381,0.616154127658207,0.430098647219297,0.667123884042356,0.0076967113466615,0,2133.09858276039
