"parameter","estimate","se","zvalue","pvalue","max_grad","convergence"
"alpha_j",-4.3624244852406,0.253692472604235,-17.1957190548813,2.85889062263614e-66,3.48192793745428e-05,0
"theta_z",1.10594682351354,0.167938827447188,6.58541470322772,4.53617455682077e-11,3.48192793745428e-05,0
"alpha2_j",-2.30194825334762,0.147776921923384,-15.577183658901,1.04038566526205e-54,3.48192793745428e-05,0
"theta2_z",0.554404032272081,0.104142711141591,5.32350297197777,1.01787789267152e-07,3.48192793745428e-05,0
"log_sigma",0.0558375404492671,0.0351130437820735,1.59022216347345,0.111784736366987,3.48192793745428e-05,0
"log_kappa",-0.812246514407353,0.347683196532135,-2.33616845021235,0.0194824639254935,3.48192793745428e-05,0
