"sp_name","bycatch"
"Carcharhinus falciformis",70152
"Sphyrnidae",11183
"sea turtles",4485
"Mobulidae",1950
"other Carcharhinidae",1697
"Dasyatidae",610
"Lamnidae",589
"Prionace glauca",378
"Alopidae",45
"other shark",16
"Rajiformes",9
"Myliobatidae",7
