"Year","est"
2013,0.752
2014,5.595
2015,5.38749450549451
2016,11.4766476938032
2017,0.48
2018,8.86929971988796
2019,0
2020,0.0366666666666667
2021,0.3
2022,0
2023,0.364247311827957
