"Year","est"
2013,0.0498964285714286
2014,0.0760666666666667
2015,0.0224216862780731
2016,0.0678254917711599
2017,0.0288358333333333
2018,0.0549325396825397
2019,0.0958012577101312
2020,0.128832444434561
2021,0.0469836752136752
2022,0.0503332488585715
2023,0.0125506666666667
