"parameter","estimate","se","zvalue","pvalue","max_grad","convergence"
"alpha_j",-0.986787708416148,0.585167825182528,-1.68633281932127,0.0917317131089274,0.00139588532389823,0
"theta_z",1.07456573246571,0.164992141264368,6.51282978832261,7.37480639735101e-11,0.00139588532389823,0
"alpha2_j",-2.69432663361817,0.232562295411258,-11.5853974903954,4.88694374142941e-31,0.00139588532389823,0
"theta2_z",0.419304730471583,0.0772012698369988,5.43131908784525,5.59390075612483e-08,0.00139588532389823,0
"log_sigma",0.176914006777818,0.00678055867959554,26.0913613667556,4.56918906294678e-150,0.00139588532389823,0
"log_kappa",-1.91696602985978,0.190611523683898,-10.0569262173193,8.56302028076055e-24,0.00139588532389823,0
