"Year","est"
2013,0.00537083333333333
2014,0.00875
2015,0.0105214285714286
2016,0.000535714285714286
2017,0.0115285204991087
2018,5e-04
2019,0
2020,0
2021,0.00101143899204244
2022,0
2023,0.001
