"Year","est"
2013,35.2153667748918
2014,17.5299744047619
2015,33.1066530793078
2016,48.5285756312461
2017,73.5105393608039
2018,59.8100813496121
2019,54.7533304147099
2020,39.0654137744754
2021,59.9898327219691
2022,43.5090530628499
2023,43.1742117993307
