"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,2.00938412961007,1.25185461037815,2.00938412961007,NA,-0.444250906731109,4.46301916595124,"single","Sphyrnidae"
2014,8.70760807762896,6.02266978027104,8.70760807762896,NA,-3.09682469170229,20.5120408469602,"single","Sphyrnidae"
2015,2.30374481744001,0.684407567836484,2.30374481744001,NA,0.962305984480498,3.64518365039952,"single","Sphyrnidae"
2016,2.81479293134165,0.802076418224972,2.81479293134165,NA,1.2427231516207,4.38686271106259,"single","Sphyrnidae"
2017,0.836403776669519,0.315163804856154,0.836403776669519,NA,0.218682719151458,1.45412483418758,"single","Sphyrnidae"
2018,2.08263735904357,0.528301890759551,2.08263735904357,NA,1.04716565315486,3.11810906493229,"single","Sphyrnidae"
2019,1.39892663081326,0.481282513772059,1.39892663081326,NA,0.455612903820019,2.34224035780649,"single","Sphyrnidae"
2020,1.40394427898603,0.472687137511845,1.40394427898603,NA,0.477477489462815,2.33041106850925,"single","Sphyrnidae"
2021,0.811603546034934,0.287145810616123,0.811603546034934,NA,0.248797757227332,1.37440933484254,"single","Sphyrnidae"
2022,0.35546239613207,0.174788040097087,0.35546239613207,NA,0.0128778375417794,0.698046954722361,"single","Sphyrnidae"
2023,0.562816358721019,0.213360436626075,0.562816358721019,NA,0.144629902933913,0.981002814508125,"single","Sphyrnidae"
