"parameter","estimate","se","zvalue","pvalue","max_grad","convergence"
"alpha_j",-3.22220951689149,0.722213023532748,-4.46157769508207,8.13584379010791e-06,0.000806426994150122,0
"theta_z",1.46686232350638,0.245257827817627,5.98089910751854,2.21909297711368e-09,0.000806426994150122,0
"alpha2_j",-2.86845134548634,0.194342568198079,-14.7597686501845,2.66192349324898e-49,0.000806426994150122,0
"theta2_z",0.376201756662031,0.0714770788746079,5.26325029765139,1.41530687275173e-07,0.000806426994150122,0
"log_sigma",-0.297421435308077,0.0131669677612081,-22.588453218844,5.62840181170152e-113,0.000806426994150122,0
"log_kappa",-1.79442743507428,0.209024987505549,-8.58475083045582,9.10335186469516e-18,0.000806426994150122,0
