"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,10.6576063703669,4.20291240874113,10.6576063703669,NA,2.41989804923431,18.8953146914995,"tV_mod_ln","single","Xiphias gladius"
2014,52.0494401679926,12.4606123716263,52.0494401679926,NA,27.6266399196051,76.4722404163802,"tV_mod_ln","single","Xiphias gladius"
2015,6.06595590992977,1.62003932500605,6.06595590992977,NA,2.89067883291791,9.24123298694164,"tV_mod_ln","single","Xiphias gladius"
2016,1.02721998922461,0.434915019018689,1.02721998922461,NA,0.174786551947979,1.87965342650124,"tV_mod_ln","single","Xiphias gladius"
2017,0.871808325792091,0.503022334833985,0.871808325792091,NA,-0.114115450482519,1.8577321020667,"tV_mod_ln","single","Xiphias gladius"
2018,1.19014550565551,0.503111228636291,1.19014550565551,NA,0.204047497528376,2.17624351378264,"tV_mod_ln","single","Xiphias gladius"
2019,0.72357251632511,0.414306610638705,0.72357251632511,NA,-0.0884684405267528,1.53561347317697,"tV_mod_ln","single","Xiphias gladius"
2020,0.407996793165303,0.233610987702015,0.407996793165303,NA,-0.049880742730646,0.865874329061253,"tV_mod_ln","single","Xiphias gladius"
2021,0.237767819383129,0.26808866294308,0.237767819383129,NA,-0.287685959985308,0.763221598751565,"tV_mod_ln","single","Xiphias gladius"
2022,0.404758668337001,0.327054188034604,0.404758668337001,NA,-0.236267540210823,1.04578487688482,"tV_mod_ln","single","Xiphias gladius"
2023,0.171749098077623,0.192527034182643,0.171749098077623,NA,-0.205603888920357,0.549102085075604,"tV_mod_ln","single","Xiphias gladius"
