"parameter","estimate","se","zvalue","pvalue","max_grad","convergence"
"alpha_j",-3.09916204848487,0.382118955667214,-8.11046403880554,5.04268107447723e-16,0.236614622027145,0
"alpha_j",-10.2797210121362,0.971691374472275,-10.5792037288785,3.72107071437117e-26,0.236614622027145,0
"alpha_j",-2.99397787372122,0.401679312171486,-7.45365216230759,9.07911747358528e-14,0.236614622027145,0
"alpha_j",-2.9418056766088,0.160924734123927,-18.2806309584661,1.18052470339224e-74,0.236614622027145,0
"alpha_j",-5.03317327951232,0.418469918053176,-12.0275629438978,2.5456436573802e-33,0.236614622027145,0
"alpha_j",-2.43001124396154,0.250677604198327,-9.69377081663427,3.20473171020092e-22,0.236614622027145,0
"alpha_j",-6.62975633767093,0.273582787830854,-24.2330900647517,9.96948524118322e-130,0.236614622027145,0
"alpha_j",-6.94376775680253,0.342855610828583,-20.2527464550499,3.3597578547142e-91,0.236614622027145,0
"alpha_j",-3.37021529398618,0.0811999876628856,-41.5051207640346,0,0.236614622027145,0
"alpha_j",-4.89909426241615,0.622429616852392,-7.87092087164927,3.5204025756123e-15,0.236614622027145,0
"theta_z",0.115798717227424,0.199491527200012,0.580469350516945,0.561598149723822,0.236614622027145,0
"theta_z",0.00874437481806735,0.0408912619261886,0.213844582098041,0.830668257523091,0.236614622027145,0
"theta_z",0.092122151477035,0.159008826041591,0.579352440806899,0.562351387728147,0.236614622027145,0
"theta_z",0.0215092610090521,0.0375322327142671,0.573087702317155,0.566585313392028,0.236614622027145,0
"theta_z",0.0401024454308971,0.0706690072621284,0.567468639854349,0.570395827024949,0.236614622027145,0
"theta_z",0.0437391437928239,0.0757573117207342,0.577358710325684,0.563697160566115,0.236614622027145,0
"theta_z",0.0279833613593748,0.0494032054270646,0.566428050922474,0.571102830454035,0.236614622027145,0
"theta_z",0.0119134482257211,0.0245616987943864,0.485041703566688,0.627646763317902,0.236614622027145,0
"theta_z",0.0152244960647238,0.0264410292339403,0.57579059914889,0.564756728521417,0.236614622027145,0
"theta_z",0.130606136731933,0.22563524192526,0.578837488406157,0.562698833159863,0.236614622027145,0
"theta_z",0.780984064022768,2.60099568425916,0.300263498609077,0.763976173250526,0.236614622027145,0
"theta_z",0.211857721714824,0.705636933678103,0.300236157722818,0.763997026648652,0.236614622027145,0
"theta_z",-0.116061957668982,0.386591401201434,-0.300218673535648,0.764010362250358,0.236614622027145,0
"theta_z",-0.320113606649468,1.06614380098853,-0.300253686559597,0.763983657061908,0.236614622027145,0
"theta_z",0.165245472473083,0.550360420350177,0.300249557131929,0.763986806650843,0.236614622027145,0
"theta_z",0.205894947869903,0.685808156717239,0.300222366638888,0.764007545427629,0.236614622027145,0
"theta_z",-0.27358706264049,0.911230152001057,-0.300239255735441,0.763994663728697,0.236614622027145,0
"theta_z",-0.0498056870060364,0.165940489795289,-0.300141858490828,0.764068951725077,0.236614622027145,0
"theta_z",-0.362396028945258,1.20695359998354,-0.300256802705755,0.763981280323636,0.236614622027145,0
"theta_z",8.74463935432964,15.0944262355206,0.579329032974537,0.562367179064938,0.236614622027145,0
"theta_z",3.28012907449763,10.9289826976047,0.300131235015729,0.764077054720985,0.236614622027145,0
"log_sigma",0.087582328649104,0.00725844336728725,12.0662687875785,1.59189858551458e-33,0.236614622027145,0
"log_sigma",0.183770989749612,0.00469881516679693,39.1100699274546,0,0.236614622027145,0
"log_kappa",-1.40680598849547,0.13742435571375,-10.2369480372591,1.35441545092862e-24,0.236614622027145,0
