"Year","est","se","est_corr","se_corr","lwr","upr","type","species"
2013,1.05902670923409,0.571572259540482,1.05902670923409,NA,-0.0612549194652536,2.17930833793344,"single","Molidae"
2014,0.185486444761922,0.232362745341458,0.185486444761922,NA,-0.269944536107337,0.64091742563118,"single","Molidae"
2015,5.60378936873992,1.64235122515834,5.60378936873992,NA,2.38478096742957,8.82279777005027,"single","Molidae"
2016,2.99900154378235,0.814469667456677,2.99900154378235,NA,1.40264099556727,4.59536209199744,"single","Molidae"
2017,0.225141645544579,0.105347904468682,0.225141645544579,NA,0.018659752785961,0.431623538303196,"single","Molidae"
2018,1.16636595906533,0.346475792030879,1.16636595906533,NA,0.487273406684803,1.84545851144585,"single","Molidae"
2019,2.06979582124769,0.615555365290201,2.06979582124769,NA,0.863307305278898,3.27628433721649,"single","Molidae"
2020,3.30578921480129,0.826438824678397,3.30578921480129,NA,1.68596911843163,4.92560931117094,"single","Molidae"
2021,0.645482125637817,0.21978615823388,0.645482125637817,NA,0.214701255499413,1.07626299577622,"single","Molidae"
2022,1.27333765903847,0.326659581586065,1.27333765903847,NA,0.633084879129778,1.91359043894715,"single","Molidae"
2023,3.09740692371556,0.640018557070953,3.09740692371556,NA,1.8429705518565,4.35184329557463,"single","Molidae"
